policy,seed,err_rate,rounds_to_target,cum_time,final_gain,final_regret
lipschitz-ucb,45,0.216994,31,249.555556,4.881944,2.144644
lipschitz-ucb,46,0.221464,31,250.666667,4.747918,2.274057
lipschitz-ucb,47,0.216439,31,252.000000,5.034097,1.980961
lipschitz-ucb,48,0.217805,32,251.777778,4.980175,2.036720
lipschitz-ucb,49,0.198905,21,254.666667,5.154392,1.861550
lipschitz-ucb,50,0.240356,36,248.888889,4.603591,2.410394
lipschitz-ucb,51,0.239684,33,252.666667,4.794298,2.210013
lipschitz-ucb,52,0.222469,32,250.888889,4.744745,2.276843
lipschitz-ucb,53,0.215120,32,250.000000,4.822571,2.185567
lipschitz-ucb,54,0.221316,30,249.777778,4.765725,2.260807
lipschitz-ucb,55,0.210349,28,251.555556,5.154597,1.841169
lipschitz-ucb,56,0.216157,30,255.333333,5.166221,1.845321
lipschitz-ucb,57,0.220558,32,252.666667,4.935513,2.066880
lipschitz-ucb,58,0.204521,28,250.000000,4.826654,2.183078
lipschitz-ucb,59,0.198300,24,252.444444,4.998866,2.003859
contextual-ucb,0,0.153016,28,241.777778,5.090372,1.927048
contextual-ucb,1,0.142089,28,237.333333,4.754294,2.273853
contextual-ucb,2,0.143419,28,236.666667,4.890970,2.132181
contextual-ucb,3,0.143746,26,240.222222,4.944265,2.078149
contextual-ucb,4,0.144773,25,239.333333,4.825373,2.197988
contextual-ucb,5,0.144091,26,239.111111,5.094089,1.911028
contextual-ucb,6,0.147874,28,238.666667,4.886112,2.115407
contextual-ucb,7,0.149999,26,243.111111,5.252796,1.773845
contextual-ucb,8,0.147932,28,240.000000,4.955420,2.066134
contextual-ucb,9,0.137578,30,236.000000,4.820703,2.194236
contextual-ucb,10,0.158528,30,236.666667,4.763109,2.231375
contextual-ucb,11,0.154529,29,241.555556,5.252562,1.760723
contextual-ucb,12,0.157400,30,237.111111,5.060345,1.929322
contextual-ucb,13,0.142907,26,239.333333,5.081692,1.936846
contextual-ucb,14,0.147986,27,239.777778,5.222010,1.779790
contextual-ucb,15,0.145488,26,239.555556,4.801748,2.212630
contextual-ucb,16,0.144407,30,236.444444,4.864491,2.138781
contextual-ucb,17,0.152406,24,242.444444,4.978997,2.040234
contextual-ucb,18,0.150085,27,240.888889,4.860294,2.157536
contextual-ucb,19,0.149441,28,240.888889,5.069412,1.951053
contextual-ucb,20,0.149367,27,238.666667,5.047818,1.951477
contextual-ucb,21,0.154286,27,240.888889,5.006043,1.994338
contextual-ucb,22,0.144049,27,239.333333,4.848574,2.176174
contextual-ucb,23,0.139667,26,236.222222,4.708550,2.318686
contextual-ucb,24,0.143388,26,236.000000,5.022754,1.976560
contextual-ucb,25,0.156737,25,243.555556,4.991439,2.028187
contextual-ucb,26,0.153711,25,244.666667,5.137019,1.888940
contextual-ucb,27,0.152696,28,239.777778,4.918045,2.092591
contextual-ucb,28,0.148266,25,238.666667,4.811317,2.197903
contextual-ucb,29,0.154751,26,239.555556,5.100047,1.890685
contextual-ucb,30,0.147493,26,238.000000,4.908705,2.092183
contextual-ucb,31,0.158096,27,241.111111,5.154341,1.837612
contextual-ucb,32,0.139922,27,237.111111,4.925379,2.100031
contextual-ucb,33,0.154073,26,242.222222,5.229896,1.768416
contextual-ucb,34,0.148670,27,241.111111,5.103750,1.915285
contextual-ucb,35,0.154699,28,240.666667,5.028289,1.971406
contextual-ucb,36,0.155682,29,241.111111,5.001374,2.005765
contextual-ucb,37,0.149423,28,242.000000,4.985072,2.031709
contextual-ucb,38,0.141342,26,238.444444,4.958685,2.060407
contextual-ucb,39,0.153325,26,240.444444,5.059258,1.936976
contextual-ucb,40,0.153713,27,242.000000,5.175764,1.830435
contextual-ucb,41,0.147127,26,241.333333,5.013523,2.007793
contextual-ucb,42,0.150268,27,241.777778,5.145152,1.874585
contextual-ucb,43,0.143016,25,241.777778,5.136987,1.886437
contextual-ucb,44,0.139560,27,238.000000,5.007551,2.015310
contextual-ucb,45,0.149413,26,240.444444,5.069604,1.949073
contextual-ucb,46,0.144864,27,238.222222,4.894919,2.125489
contextual-ucb,47,0.158997,25,246.444444,5.247677,1.774245
contextual-ucb,48,0.147471,26,239.777778,4.919269,2.101418
contextual-ucb,49,0.151887,28,240.222222,5.074053,1.949888
contextual-ucb,50,0.141399,28,235.333333,4.960696,2.048623
contextual-ucb,51,0.142206,28,235.333333,4.871032,2.137464
contextual-ucb,52,0.143694,26,239.111111,4.875089,2.140014
contextual-ucb,53,0.141885,26,237.333333,4.927089,2.087765
contextual-ucb,54,0.148852,25,240.888889,5.035200,1.987014
contextual-ucb,55,0.160340,27,244.000000,5.348068,1.656915
contextual-ucb,56,0.142832,29,237.777778,5.028470,1.995023
contextual-ucb,57,0.151190,27,239.555556,4.925845,2.081324
contextual-ucb,58,0.141415,29,234.888889,4.704258,2.307134
contextual-ucb,59,0.144331,29,239.111111,4.994681,2.017222
ctx+LLM先验(正确),0,0.167091,18,249.111111,5.138748,1.873276
ctx+LLM先验(正确),1,0.165439,19,250.222222,5.037892,1.983874
ctx+LLM先验(正确),2,0.176893,20,252.444444,5.192830,1.827393
